V,Vcorrect,gene,species,Done
TRBV4-01,TRBV4-1,TRBV,Human,yes
TRBV4-02,TRBV4-2,TRBV,Human,yes
TRBV4-03,TRBV4-3,TRBV,Human,yes
TRBV5,TRBV5-1,TRBV,Human,yes
TRBV5-01,TRBV5-1,TRBV,Human,yes
TRBV5-04,TRBV5-4,TRBV,Human,yes
TRBV5-05,TRBV5-5,TRBV,Human,yes
TRBV5-06,TRBV5-6,TRBV,Human,yes
TRBV5-07,TRBV5-7,TRBV,Human,yes
TRBV5-08,TRBV5-8,TRBV,Human,yes
TRBV5-2,TRBV5-2,TRBV,Human,no
TRBV6,TRBV6-1,TRBV,Human,yes
TRBV6-01,TRBV6-1,TRBV,Human,yes
TRBV6-02,TRBV6-2,TRBV,Human,yes
TRBV6-02/3,TRBV6-2,TRBV,Human,yes
TRBV6-02/TRBV6-03,TRBV6-2,TRBV,Human,yes
TRBV6-03,TRBV6-3,TRBV,Human,yes
TRBV6-04,TRBV6-4,TRBV,Human,yes
TRBV6-05,TRBV6-5,TRBV,Human,yes
TRBV6-06,TRBV6-6,TRBV,Human,yes
TRBV6-09,TRBV6-9,TRBV,Human,yes
TRBV6-2/3,TRBV6-2,TRBV,Human,yes
TRBV6-2/6-3,TRBV6-2,TRBV,Human,yes
TRBV7,TRBV7-1,TRBV,Human,yes
TRBV7-01,TRBV7-1,TRBV,Human,yes
TRBV7-02,TRBV7-2,TRBV,Human,yes
TRBV7-03,TRBV7-3,TRBV,Human,yes
TRBV7-06,TRBV7-6,TRBV,Human,yes
TRBV7-07,TRBV7-7,TRBV,Human,yes
TRBV7-08,TRBV7-8,TRBV,Human,yes
TRBV7-09,TRBV7-9,TRBV,Human,yes
TRBV7-5,TRBV7-5,TRBV,Human,no
TRBV8,TRBV8,TRBV,Human,no
TRBV9-01,TRBV9,TRBV,Human,yes
TRBV9-02,TRBV9,TRBV,Human,yes
TRBV9-1,TRBV9,TRBV,Human,yes
TRBV17-01,TRBV17,TRBV,Human,yes
TCRBV6-2,TRBV6,TRBV,Mouse,yes
TRBV1-01,TRBV1,TRBV,Mouse,yes
TRBV12,TRBV12-1,TRBV,Mouse,yes
TRBV12-01,TRBV12-1,TRBV,Mouse,yes
TRBV12-02,TRBV12-2,TRBV,Mouse,yes
TRBV12-2+TRBV13-2,TRBV12-2,TRBV,Mouse,yes
TRBV13,TRBV13-1,TRBV,Mouse,yes
TRBV13-01,TRBV13-1,TRBV,Mouse,yes
TRBV13-01/2,TRBV13-1,TRBV,Mouse,yes
TRBV13-01/3/4,TRBV13-1,TRBV,Mouse,yes
TRBV14-01,TRBV14,TRBV,Mouse,yes
TRBV15-01,TRBV15,TRBV,Mouse,yes
TRBV2-01,TRBV2,TRBV,Mouse,yes
TRBV26-01/2,TRBV26,TRBV,Mouse,yes
TRBV29-01,TRBV29,TRBV,Mouse,yes
TRBV3-01,TRBV3,TRBV,Mouse,yes
TRBV4-01,TRBV4,TRBV,Mouse,yes
TRBV5-01,TRBV5,TRBV,Mouse,yes
TRBV5-02,TRBV5,TRBV,Mouse,yes
TRBV6S-19,TRBV6S-19,TRBV,Mouse,no
TRBV6S-19,TRBV6,TRBV,Mouse,yes
TRBV7,TRBV7-1,TRBV,Mouse,yes
TRBV8-1,TRBV8,TRBV,Mouse,yes
TRBV8-2,TRBV8,TRBV,Mouse,yes
TRBV8-3,TRBV8,TRBV,Mouse,yes
